"","BBAS3 ","BBDC3 ","",""
"363","20.35","10.938","1.57467075365274","OpenRight"
"364","20.2","11.042","1.57467075365274","OpenRight"
"365","20.2","11.164","1.57467075365274","OutRight"
"366","21.04","11.366","1.57467075365274","Fora"
"367","21","11.333","1.57467075365274","Fora"
"368","21.55","11.606","1.57467075365274","Fora"
"369","21.16","11.516","1.57467075365274","Fora"
"370","21.57","11.742","1.57467075365274","Fora"
"371","22.1","11.601","1.57467075365274","OpenRight"
"372","21.38","11.258","1.57467075365274","OpenRight"
"373","22.35","11.465","1.57467075365274","OpenRight"
"374","21.8","11.394","1.57467075365274","OpenRight"
"375","22.19","11.507","1.57467075365274","OpenRight"
"376","21.85","11.305","1.57467075365274","OpenRight"
"377","22.05","11.46","1.57467075365274","OpenRight"
"378","22.1686884538476","11.6525610840675","1.57467075365274","OpenRight"
"379","22.1","11.751","1.57467075365274","OpenRight"
"380","21.4","11.451","1.57467075365274","OpenRight"
"381","21","11.234","1.57467075365274","OpenRight"
"382","20.95","11.164","1.57467075365274","OpenRight"
"383","20.5","11.098","1.57467075365274","OutRight"
"384","21","11.324","1.57467075365274","Fora"
"385","20.42","10.976","1.57467075365274","Fora"
"386","20.26","10.717","1.57467075365274","Fora"
"387","20.05","10.694","1.57467075365274","Fora"
"388","21.3","11.046","1.57467075365274","Fora"
"389","21.2","11.183","1.57467075365274","Fora"
"390","21.32","11.399","1.57467075365274","Fora"
"391","21.18","11.277","1.57467075365274","Fora"
"392","21.35","11.23","1.57467075365274","Fora"
"393","21.8","10.99","1.57467075365274","OpenRight"
"394","21.8","10.858","1.57467075365274","OpenRight"
"395","21.9","10.858","1.57467075365274","OpenRight"
"396","21.68","10.67","1.57467075365274","OpenRight"
"397","21","10.52","1.57467075365274","OpenRight"
"398","20.6321654796433","10.4226644316001","1.57467075365274","OpenRight"
"399","20.6","10.426","1.57467075365274","OpenRight"
"400","20.6","10.637","1.57467075365274","OpenRight"
"401","20.6","10.529","1.57467075365274","OpenRight"
"402","21.54","11.037","1.57467075365274","OpenRight"
"403","21.54","11.046","1.57467075365274","OpenRight"
"404","21.6","11.06","1.57467075365274","OpenRight"
"405","21.95","11.333","1.57467075365274","OpenRight"
"406","22.22","11.281","1.57467075365274","OpenRight"
"407","22.14","11.14","1.57467075365274","OpenRight"
"408","22.7","11.352","1.57467075365274","OpenRight"
"409","23.2","11.446","1.57467075365274","OpenRight"
"410","23.3","11.422","1.57467075365274","OpenRight"
"411","23.55","11.38","1.57467075365274","OpenRight"
"412","23.15","11.15","1.57467075365274","OpenRight"
"413","23.77","11.563","1.57467075365274","OpenRight"
"414","23.64","11.587","1.57467075365274","OpenRight"
"415","24.09","11.798","1.57467075365274","OpenRight"
"416","24.57","11.535","1.57467075365274","OpenRight"
"417","25.39","11.634","1.57467075365274","OpenRight"
"418","24.4","11.587","1.57467075365274","OpenRight"
"419","24.5","11.7","1.57467075365274","OpenRight"
"420","24.6","12.005","1.57467075365274","OpenRight"
"421","24.7","11.587","1.57467075365274","OpenRight"
"422","24.84","11.775","1.57467075365274","OpenRight"
"423","25.43","11.582","1.57467075365274","OpenRight"
"424","25.11","11.436","1.57467075365274","OpenRight"
"425","24.38","11.164","1.57467075365274","OpenRight"
"426","24.95","11.225","1.57467075365274","OpenRight"
"427","25.3","11.31","1.57467075365274","OpenRight"
"428","25.64","11.516","1.57467075365274","OpenRight"
"429","25.64","11.563","1.57467075365274","OpenRight"
"430","25.65","11.573","1.57467075365274","OpenRight"
"431","25.92","11.662","1.57467075365274","OpenRight"
"432","26.3","11.747","1.57467075365274","OpenRight"
"433","26.5","11.845","1.57467075365274","OpenRight"
"434","26.62","11.911","1.57467075365274","OpenRight"
"435","26.16","11.798","1.57467075365274","OpenRight"
